Property Name,URI,Label,Domain,Range,Is Functional,Is Inverse Functional,Inverse Of,Sub-property Of (list),Comment
TypeFeaturing_owningFeatureOfType,https://www.omg.org/spec/SysML#TypeFeaturing_owningFeatureOfType,owningFeatureOfType,TypeFeaturing,Feature,Yes,No,,Relationship_owningRelatedElement | TypeFeaturing_featureOfType,<p>A <code>featureOfType</code> that is also the <code>owningRelatedElement</code> of this <code>TypeFeaturing</code>.</p>
Type_ownedConjugator,https://www.omg.org/spec/SysML#Type_ownedConjugator,ownedConjugator,Type,Conjugation,Yes,No,Conjugation_owningType,,<p>A <code>Conjugation</code> owned by this <code>Type</code> for which the <code>Type</code> is the <code>originalType</code>.</p>
Type_ownedDifferencing,https://www.omg.org/spec/SysML#Type_ownedDifferencing,ownedDifferencing,Type,Differencing,Yes,No,Differencing_typeDifferenced,,"<p>The <code>ownedRelationships</code> of this <code>Type</code> that are <code>Differencings</code>, having this <code>Type</code> as their <code>typeDifferenced</code>.</p>"
Type_ownedDisjoining,https://www.omg.org/spec/SysML#Type_ownedDisjoining,ownedDisjoining,Type,Disjoining,Yes,No,Disjoining_owningType,,"<p>The <code>ownedRelationships</code> of this <code>Type</code> that are <code>Disjoinings</code>, for which the <code>Type</code> is the <code>typeDisjoined</code> <code>Type</code>.</p>"
Type_ownedEndFeature,https://www.omg.org/spec/SysML#Type_ownedEndFeature,ownedEndFeature,Type,Feature,No,No,,Type_endFeature | Type_ownedFeature,<p>All <code>endFeatures</code> of this <code>Type</code> that are <code>ownedFeatures</code>.</p>
Type_ownedFeature,https://www.omg.org/spec/SysML#Type_ownedFeature,ownedFeature,Type,Feature,No,No,,Namespace_ownedMember,<p>The <code>ownedMemberFeatures</code> of the <code>ownedFeatureMemberships</code> of this <code>Type</code>.</p>
Type_ownedFeatureMembership,https://www.omg.org/spec/SysML#Type_ownedFeatureMembership,ownedFeatureMembership,Type,FeatureMembership,Yes,No,FeatureMembership_owningType,Type_featureMembership,"<p>The <code>ownedMemberships</code> of this <code>Type</code> that are <code>FeatureMemberships</code>, for which the <code>Type</code> is the <code>owningType</code>. Each such <code>FeatureMembership</code> identifies an <code>ownedFeature</code> of the <code>Type</code>.</p>"
Type_ownedIntersecting,https://www.omg.org/spec/SysML#Type_ownedIntersecting,ownedIntersecting,Type,Intersecting,Yes,No,Intersecting_typeIntersected,,"<p>The <code>ownedRelationships</code> of this <code>Type</code> that are <code>Intersectings</code>, have the <code>Type</code> as their <code>typeIntersected</code>.</p>"
Type_ownedSpecialization,https://www.omg.org/spec/SysML#Type_ownedSpecialization,ownedSpecialization,Type,Specialization,Yes,No,Specialization_owningType,,"<p>The <code>ownedRelationships</code> of this <code>Type</code> that are <code>Specializations</code>, for which the <code>Type</code> is the <code>specific</code> <code>Type</code>.</p>"
Type_ownedUnioning,https://www.omg.org/spec/SysML#Type_ownedUnioning,ownedUnioning,Type,Unioning,Yes,No,Unioning_typeUnioned,,"<p>The <code>ownedRelationships</code> of this <code>Type</code> that are <code>Unionings</code>, having the <code>Type</code> as their <code>typeUnioned</code>.</p>"
Usage_owningDefinition,https://www.omg.org/spec/SysML#Usage_owningDefinition,owningDefinition,Usage,Definition,No,No,Definition_ownedUsage,,<p>The <code>Definition</code> that owns this <code>Usage</code> (if any).</p>
Usage_owningUsage,https://www.omg.org/spec/SysML#Usage_owningUsage,owningUsage,Usage,Usage,No,No,Usage_nestedUsage,,<p>The <code>Usage</code> in which this <code>Usage</code> is nested (if any).</p>
VariantMembership_ownedVariantUsage,https://www.omg.org/spec/SysML#VariantMembership_ownedVariantUsage,ownedVariantUsage,VariantMembership,Usage,Yes,No,,OwningMembership_ownedMemberElement,<p>The <code>Usage</code> that represents a variant in the context of the <code>owningVariationDefinition</code> or <code>owningVariationUsage</code>.</p>
ViewRenderingMembership_ownedRendering,https://www.omg.org/spec/SysML#ViewRenderingMembership_ownedRendering,ownedRendering,ViewRenderingMembership,RenderingUsage,Yes,No,,FeatureMembership_ownedMemberFeature,<p>The owned <code>RenderingUsage</code> that is either itself the <code>referencedRendering</code> or subsets the <code>referencedRendering</code>.
